time,humidity_mean,humidity_median,humidity_max,humidity_p75,tcc_mean,tcc_median,tcc_max,tcc_p75,temp_mean,temp_median,temp_max,temp_p75,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1,Kp,ap,keogram_mean,keogram_median,keogram_max
2018-01-10 02:00:00,68.90484619140625,71.04850769042969,84.19108581542969,81.58561706542969,0.0390701293945312,0.0,0.2749099731445312,0.0,-25.86212921142578,-23.9923095703125,-20.6202392578125,-22.3448486328125,3.60186851229807e-05,0.0,0.000336869561579,0.0,0.0,1.333,5.0,19.27,16.29,247.48
2018-01-10 17:00:00,79.07963562011719,84.21977233886719,88.38822937011719,86.55912780761719,0.0,0.0,0.0,0.0,-29.71429443359375,-29.288619995117188,-23.271530151367188,-26.519577026367188,0.0,0.0,0.0,0.0,0.0,1.0,4.0,19.78,17.51,73.06
2018-01-12 10:00:00,89.11997985839844,90.85232543945312,93.19900512695312,91.77029418945312,0.3109673261642456,0.178924560546875,0.8011474609375,0.576141357421875,-22.35026741027832,-20.53033447265625,-15.84381103515625,-16.58062744140625,0.0,0.0,0.0,0.0,0.0,1.0,4.0,33.92,25.99,147.12
2018-01-12 11:00:00,85.67794799804688,86.26998901367188,90.43527221679688,88.66574096679688,0.2953559160232544,0.1544342041015625,0.7620849609375,0.669525146484375,-22.1595458984375,-20.406784057617188,-15.620635986328123,-16.340362548828125,0.0,0.0,0.0,0.0,0.0,1.0,4.0,26.55,15.29,195.74
2018-01-12 12:00:00,83.69087982177734,84.7696533203125,89.9700927734375,86.0045166015625,0.1557129025459289,0.1337165087461471,0.4712180197238922,0.1861685961484909,-21.972644805908203,-20.27851867675781,-15.485076904296877,-16.113983154296875,0.0,0.0,0.0,0.0,0.0,0.667,3.0,29.1,21.06,142.24
2018-01-12 13:00:00,82.32060241699219,83.93241882324219,89.66923522949219,84.60771179199219,0.0465766042470932,0.0101356506347656,0.2175521850585937,0.0376777648925781,-22.080644607543945,-20.440399169921875,-15.432586669921877,-16.180145263671875,0.0,0.0,0.0,0.0,0.0,0.667,3.0,29.57,17.25,143.6
2018-01-12 17:00:00,78.3570556640625,79.81924438476562,87.64883422851562,80.33535766601562,0.2345716655254364,0.013946533203125,0.8648834228515625,0.5773468017578125,-21.192901611328125,-19.510772705078125,-13.639190673828123,-14.688018798828123,0.0,0.0,0.0,0.0,0.0,1.333,5.0,26.0,16.43,160.29
2018-01-13 09:00:00,72.91670989990234,71.91969299316406,81.02809143066406,77.18434143066406,0.1233469620347023,0.0914306640625,0.4996566772460937,0.1276779174804687,-19.73328399658203,-17.903091430664062,-10.649200439453123,-13.005157470703123,0.0002954995659708,0.0,0.0014532706700265,0.0,0.0,1.333,5.0,40.43,25.99,211.35
2018-01-13 10:00:00,82.48786163330078,83.50088500976562,88.26211547851562,83.90493774414062,0.3579441606998443,0.217439517378807,0.8699816465377808,0.5061663389205933,-20.91841506958008,-19.287399291992188,-11.618438720703123,-14.157501220703123,0.0010091571224667,0.0,0.0051803654059767,0.0004363246262073,0.0,1.333,5.0,80.11,70.24,239.45
2018-01-13 11:00:00,78.85696411132812,79.11627197265625,86.15509033203125,81.42852783203125,0.3008033037185669,0.2608642578125,0.8459320068359375,0.3659210205078125,-20.828998565673828,-19.389877319335938,-11.260955810546877,-13.577362060546877,0.0012037678190456,0.0,0.0070198439061641,0.0004363246262073,0.0,1.333,5.0,61.29,64.91,239.45
2018-01-13 12:00:00,76.6233139038086,77.18977355957031,84.51741027832031,79.62727355957031,0.2548099160194397,0.2714080810546875,0.526397705078125,0.4209442138671875,-20.891084671020508,-19.317306518554688,-10.957916259765623,-14.001373291015623,0.0004252847684479,0.0,0.0030142837204039,0.0,0.0,2.0,7.0,48.06,37.54,169.52
2018-01-13 13:00:00,75.46664428710938,77.39909362792969,83.31217956542969,78.57341003417969,0.216094970703125,0.1528549194335937,0.4645919799804687,0.3702316284179687,-20.78236389160156,-19.295974731445312,-11.198822021484377,-13.475677490234377,7.862439909629842e-05,0.0,0.0004890316631644,0.0,0.0,2.0,7.0,51.12,43.42,236.94
2018-01-13 14:00:00,74.15740203857422,76.95352172851562,82.13906860351562,77.29776000976562,0.1978827565908432,0.17742919921875,0.69268798828125,0.3145751953125,-20.38562774658203,-18.89300537109375,-10.86712646484375,-12.68450927734375,0.0,0.0,0.0,0.0,0.0,2.0,7.0,64.72,57.61,199.17
2018-01-13 17:00:00,73.73153686523438,76.76463317871094,81.04441833496094,76.96775817871094,0.1305808573961258,0.1122118234634399,0.2805467844009399,0.1918855905532837,-19.40125274658203,-17.991958618164062,-10.258087158203123,-11.600860595703123,0.0,0.0,0.0,0.0,0.0,1.667,6.0,26.75,18.41,145.8
2018-01-14 02:00:00,70.65807342529297,72.43254089355469,85.15324401855469,75.93693542480469,1.0,1.0,1.0,1.0,-15.418699264526367,-14.044464111328123,-8.544464111328125,-9.955596923828123,0.0013600647429108,0.000269035808742,0.0059315934777259,0.0017450656741857,0.0,4.667,39.0,19.63,16.14,46.82
2018-01-14 05:00:00,66.70111846923828,67.75791931152344,77.70762634277344,72.19688415527344,0.925650715827942,0.9999966025352478,0.9999966025352478,0.9999966025352478,-11.85576057434082,-9.393218994140623,-6.805084228515625,-7.302642822265625,0.0370075148153434,0.0238292198628187,0.1016356348991394,0.048309963196516,0.1111111111111111,4.0,27.0,47.82,44.56,128.05
2018-01-14 06:00:00,67.90924835205078,69.5904541015625,76.1866455078125,73.8936767578125,0.7798213958740234,0.9910928606987,1.0000040531158447,1.0000040531158447,-11.42422103881836,-8.7608642578125,-6.8795166015625,-7.1329345703125,0.0477343667011553,0.0517188273370265,0.1196532249450683,0.0723625272512435,0.1111111111111111,2.0,7.0,40.95,38.99,167.36
2018-01-14 07:00:00,69.07626342773438,70.24919128417969,76.23356628417969,73.78215026855469,0.6950734257698059,0.7682969570159912,1.0000016689300537,1.0000016689300537,-11.07192611694336,-8.5797119140625,-6.2401123046875,-7.2034912109375,0.036439246450866,0.006839632987976,0.1027528196573257,0.0974833965301513,0.2222222222222222,2.0,7.0,26.89,30.2,65.7
2018-01-14 08:00:00,71.2941665649414,72.57818603515625,78.16680908203125,74.09210205078125,0.5097262859344482,0.6831543445587158,0.9981110095977784,0.9962341785430908,-10.948915481567385,-8.584197998046875,-6.344207763671875,-7.197235107421875,0.0750356935349527,0.0002458691596984,0.3705695271492004,0.1132115721702575,0.3333333333333333,2.0,7.0,18.93,20.17,47.98
2018-01-14 09:00:00,74.4049072265625,75.84791564941406,80.94654846191406,77.10353088378906,0.3013571500778198,0.1347617208957672,0.8292807340621948,0.5853384733200073,-9.292951583862305,-8.054290771484375,-3.821868896484375,-5.715179443359375,0.0381037409788619,0.0001192092895507,0.2295449376106262,0.0287070870399475,0.1111111111111111,1.333,5.0,28.11,21.0,197.76
2018-01-14 10:00:00,77.65808868408203,76.83001708984375,84.32830810546875,80.08636474609375,0.2922805249691009,0.063305452466011,0.9637570977211,0.4598966240882873,-9.48536205291748,-8.188812255859375,-4.390960693359375,-6.311126708984375,0.0052867537660061,4.749745130538941e-05,0.0349953770637512,0.002109445631504,0.0,1.333,5.0,25.91,22.27,189.52
2018-01-14 11:00:00,79.89078521728516,80.15206909179688,85.50338745117188,82.78488159179688,0.3667449653148651,0.1225263178348541,0.986036479473114,0.685529887676239,-10.527164459228516,-10.129974365234377,-5.249114990234375,-6.744720458984375,0.0004969642229792,0.0,0.0021407031454145,0.0004016910679638,0.0,1.333,5.0,18.91,17.77,65.87
2018-01-14 12:00:00,81.60167694091797,83.00382995605469,85.27677917480469,83.90495300292969,0.6634328365325928,0.9690459966659546,1.000006079673767,0.9971984624862672,-11.971076011657717,-12.379058837890623,-6.723297119140625,-8.240875244140625,0.0006640428098702,0.0,0.0045858323574066,0.0003871973603963,0.0,1.667,6.0,26.23,27.17,43.93
2018-01-14 13:00:00,82.28562927246094,84.17503356933594,85.45530700683594,85.29490661621094,0.913481593132019,1.0000057220458984,1.0000057220458984,1.0000057220458984,-11.37436580657959,-11.482818603515623,-6.007720947265625,-7.281646728515625,0.0008857365201753,0.0,0.0064767664298415,0.0005279434844851,0.0,1.667,6.0,32.67,33.5,59.63
2018-01-14 14:00:00,81.89962768554688,83.28764343261719,85.67436218261719,84.96537780761719,0.9691866636276244,1.0000009536743164,1.0000009536743164,1.0000009536743164,-10.094547271728516,-10.204437255859377,-4.551605224609375,-5.593109130859375,0.00130786387348,0.0,0.0096363946795463,0.0003369059413671,0.0,1.667,6.0,31.34,31.78,54.5
2018-01-14 15:00:00,81.31681823730469,82.67448425292969,85.45939636230469,84.49211120605469,0.9992142915725708,1.0,1.0,1.0,-9.810367584228516,-10.237152099609377,-4.008636474609375,-5.216644287109375,0.0025946303353541,0.0,0.0181640498340129,0.0002910383045673,0.0,2.0,7.0,16.51,16.77,31.7
2018-01-14 17:00:00,80.951416015625,81.91891479492188,85.47018432617188,84.49850463867188,1.0,1.0,1.0,1.0,-9.39079761505127,-9.745941162109377,-3.685882568359375,-4.590667724609375,0.0101519995219761,0.0,0.0499477609992027,0.0077318400144577,0.0,2.0,7.0,22.78,16.5,59.68
2018-01-15 02:00:00,83.60551452636719,84.46246337890625,85.87835693359375,85.27154541015625,0.7962185740470886,0.9828402400016784,1.0000064373016355,1.0000064373016355,-7.648447513580322,-7.752532958984375,-2.046966552734375,-4.177093505859375,0.0008129928177215,0.0,0.0036294804885983,0.0006730551831424,0.0,3.667,22.0,18.96,18.27,35.3
2018-01-15 06:00:00,87.46852111816406,88.80076599121094,90.64109802246094,89.75926208496094,0.8798987865447998,0.9930409789085388,0.9999989867210388,0.9999989867210388,-9.520219802856444,-9.040374755859377,-3.186370849609375,-6.143402099609375,0.0002567686819948,0.0,0.0015986151993274,0.0001454318407922,0.0,2.667,12.0,20.8,20.86,59.12
2018-01-15 07:00:00,87.97744750976562,89.42645263671875,91.49725341796876,90.30072021484376,0.9040778279304504,1.000004768371582,1.000004768371582,1.000004768371582,-10.14014720916748,-9.339935302734377,-3.594818115234375,-6.836029052734375,1.675455494878819e-05,0.0,0.0001453263394068,0.0,0.0,2.667,12.0,29.67,28.19,106.57
2018-01-15 08:00:00,88.32955932617188,89.08872985839844,91.75962829589844,90.64451599121094,0.9623194932937622,0.9930375218391418,0.9999993443489076,0.9974625706672668,-9.712520599365234,-8.873870849609375,-3.353851318359375,-6.778411865234375,1.675455494878819e-05,0.0,0.0001453263394068,0.0,0.0,2.667,12.0,36.61,37.11,75.24
2018-01-15 09:00:00,88.79744720458984,89.12452697753906,92.50209045410156,90.94984436035156,0.9760338664054872,0.9859200716018676,1.0000001192092896,1.0000001192092896,-10.275753021240234,-9.308685302734377,-3.457611083984375,-7.486175537109375,3.348184762327114e-05,0.0,0.0001453263394068,0.0,0.0,1.333,5.0,33.04,30.7,89.1
2018-01-15 10:00:00,83.97652435302734,83.2506103515625,89.8236083984375,89.3907470703125,0.9984309077262878,1.0,1.0,1.0,-10.39380931854248,-9.065277099609377,-3.709075927734375,-7.420745849609375,0.0002021434726792,0.0,0.0012687232811003,0.0,0.0,1.333,5.0,24.41,23.28,65.01
2018-01-15 11:00:00,86.14743041992188,85.49124145507812,91.44754028320312,91.11111450195312,1.0,1.0,1.0,1.0,-10.283267974853516,-8.942962646484375,-3.856781005859375,-7.315521240234375,0.0011900779631484,0.0,0.0058683799579739,0.0011634547263383,0.0,1.333,5.0,21.23,21.18,44.02
