segment,mean,median,max,sunlight_contamination
2019-01-13-19,0.00,0.00,0.00,0
2019-01-13-20,0.00,0.00,0.00,0
2019-01-13-21,0.00,0.00,0.00,0
2019-01-13-22,0.00,0.00,0.00,0
2019-01-13-23,0.00,0.00,0.00,0
2019-01-14-0,0.00,0.00,0.00,0
2019-01-14-1,3.64,0.00,61.46,0
2019-01-14-2,21.12,16.75,65.10,0
2019-01-14-3,7.03,7.19,17.47,0
2019-01-14-4,6.01,6.30,21.07,0
2019-01-14-5,6.34,6.70,9.91,0
2019-01-14-6,8.07,8.90,12.06,0
2019-01-14-7,8.27,9.09,12.94,0
2019-01-14-8,17.70,15.89,48.20,0
2019-01-14-9,13.10,13.64,26.15,0
2019-01-14-10,12.15,13.03,20.46,0
2019-01-14-11,8.70,9.43,15.40,0
2019-01-14-12,9.10,9.95,16.40,0
2019-01-14-13,9.93,10.94,17.19,0
2019-01-14-14,12.91,13.70,26.34,0
2019-01-14-15,7.04,7.47,17.77,0
2019-01-14-16,5.39,5.99,9.29,0
2019-01-14-17,18.38,15.13,128.44,0
2019-01-14-18,1.22,0.00,84.32,0
2019-01-14-19,0.00,0.00,0.00,0
2019-01-14-20,0.00,0.00,0.00,0
2019-01-14-21,0.00,0.00,0.00,0
2019-01-14-22,0.00,0.00,0.00,0
2019-01-14-23,0.00,0.00,0.00,0
2019-01-15-0,0.00,0.00,0.00,0
2019-01-15-1,0.00,0.00,0.00,0
2019-01-15-2,20.61,20.40,76.43,0
2019-01-15-3,9.03,8.30,22.79,0
2019-01-15-4,7.22,7.40,24.90,0
2019-01-15-5,6.74,6.82,16.09,0
2019-01-15-6,6.97,6.99,16.09,0
2019-01-15-7,6.88,6.76,15.80,0
2019-01-15-8,6.95,6.69,25.76,0
2019-01-15-9,6.81,6.58,22.96,0
2019-01-15-10,6.19,5.86,17.44,0
2019-01-15-11,5.43,5.28,18.69,0
2019-01-15-12,13.37,11.13,80.41,0
2019-01-15-13,17.76,13.90,108.18,0
2019-01-15-14,7.26,7.37,25.14,0
2019-01-15-15,5.24,5.47,8.85,0
2019-01-15-16,4.44,4.68,12.97,0
2019-01-15-17,22.36,15.33,220.95,0
2019-01-15-18,2.16,0.00,133.15,0
2019-01-15-19,0.00,0.00,0.00,0
2019-01-15-20,0.00,0.00,0.00,0
2019-01-15-21,0.00,0.00,0.00,0
2019-01-15-22,0.00,0.00,0.00,0
2019-01-15-23,0.00,0.00,0.00,0
2019-01-16-0,0.00,0.00,0.00,0
2019-01-16-1,1.00,0.00,61.81,0
