segment,mean,median,max,sunlight_contamination,dark_segment
2024-01-17-1,3.62,0.0,119.05,0,1
2024-01-17-2,39.88,36.35,160.41,0,0
2024-01-17-3,12.91,13.08,24.94,0,1
2024-01-17-4,12.5,13.21,33.2,0,1
2024-01-17-5,13.18,13.25,50.03,0,1
2024-01-17-6,14.77,15.36,28.05,0,0
2024-01-17-7,19.62,17.51,48.8,0,0
2024-01-17-8,41.25,40.49,102.58,0,0
2024-01-17-9,16.71,15.54,60.72,0,0
2024-01-17-10,14.33,13.19,36.61,0,1
2024-01-17-11,18.25,15.38,195.48,0,0
2024-01-17-12,20.79,16.61,64.22,0,0
2024-01-17-13,32.98,30.74,79.65,0,0
2024-01-17-14,21.58,18.54,71.91,0,0
2024-01-17-15,14.26,13.21,37.74,0,1
2024-01-17-16,13.91,13.07,37.34,0,1
2024-01-17-17,43.14,38.4,161.44,0,0
2024-01-17-18,7.49,0.0,148.73,0,1
2024-01-17-19,0.0,0.0,0.0,0,1
2024-01-17-20,0.0,0.0,0.0,0,1
2024-01-17-21,0.0,0.0,0.0,0,1
2024-01-17-22,0.0,0.0,0.0,0,1
2024-01-17-23,0.0,0.0,0.0,0,1
2024-01-18-0,0.0,0.0,0.0,0,1
2024-01-18-1,0.42,0.0,36.14,0,1
2024-01-18-2,50.95,51.78,223.89,0,0
2024-01-18-3,22.0,20.82,54.9,0,0
2024-01-18-4,19.62,18.38,55.29,0,0
2024-01-18-5,18.97,15.85,224.48,0,0
2024-01-18-6,16.9,15.08,47.73,0,0
2024-01-18-7,17.69,14.78,68.59,0,1
2024-01-18-8,25.48,20.44,223.31,0,0
2024-01-18-9,80.53,65.81,239.45,0,0
2024-01-18-10,59.26,60.12,193.0,0,0
2024-01-18-11,51.12,46.46,137.56,0,0
2024-01-18-12,52.84,36.19,222.25,0,0
2024-01-18-13,74.85,65.68,238.85,0,0
2024-01-18-14,33.31,24.68,129.17,0,0
2024-01-18-15,19.3,14.34,74.48,0,1
2024-01-18-16,15.11,12.91,46.18,0,1
2024-01-18-17,48.21,46.85,163.4,0,0
2024-01-18-18,5.56,0.0,154.1,0,1
2024-01-18-19,0.0,0.0,0.0,0,1
2024-01-18-20,0.0,0.0,0.0,0,1
2024-01-18-21,0.0,0.0,0.0,0,1
2024-01-18-22,0.0,0.0,0.0,0,1
2024-01-18-23,0.0,0.0,0.0,0,1
2024-01-19-0,0.0,0.0,0.0,0,1
2024-01-19-1,0.0,0.0,0.0,0,1
2024-01-19-2,49.79,51.3,159.69,0,0
2024-01-19-3,29.86,30.42,78.14,0,0
2024-01-19-4,34.53,35.1,78.01,0,0
2024-01-19-5,43.22,43.95,220.95,0,0
2024-01-19-6,45.84,47.58,224.48,0,0
2024-01-19-7,36.43,38.28,65.47,0,0
2024-01-19-8,32.3,33.73,54.64,0,0
2024-01-19-9,34.97,34.27,71.57,0,0
2024-01-19-10,38.69,38.32,79.68,0,0
2024-01-19-11,46.88,40.9,156.44,0,0
2024-01-19-12,31.3,30.24,68.62,0,0
2024-01-19-13,24.21,22.26,75.96,0,0
2024-01-19-14,19.27,15.93,47.89,0,0
2024-01-19-15,18.0,13.78,51.34,0,1
2024-01-19-16,18.44,15.84,92.94,0,0
2024-01-19-17,64.45,64.08,203.32,0,0
2024-01-19-18,5.11,0.0,165.39,0,1
2024-01-19-19,0.0,0.0,0.0,0,1
2024-01-19-20,0.0,0.0,0.0,0,1
2024-01-19-21,0.0,0.0,0.0,0,1
2024-01-19-22,0.0,0.0,0.0,0,1
2024-01-19-23,0.0,0.0,0.0,0,1
2024-01-20-0,0.0,0.0,0.0,0,1
2024-01-20-1,0.0,0.0,0.0,0,1
2024-01-20-2,54.48,57.09,231.77,0,0
2024-01-20-3,30.29,30.48,105.19,0,0
2024-01-20-4,23.5,20.98,87.15,0,0
2024-01-20-5,30.1,28.66,101.9,0,0
2024-01-20-6,56.98,34.87,248.96,0,0
2024-01-20-7,40.38,40.34,223.89,0,0
2024-01-20-8,41.54,41.77,92.88,0,0
2024-01-20-9,45.14,44.09,217.73,0,0
2024-01-20-10,55.16,57.24,151.28,0,0
2024-01-20-11,53.45,51.94,187.45,0,0
2024-01-20-12,44.42,38.57,148.12,0,0
2024-01-20-13,64.19,57.35,202.38,0,0
2024-01-20-14,36.64,27.31,118.77,0,0
2024-01-20-15,31.17,22.32,87.52,0,0
2024-01-20-16,34.32,26.61,102.0,0,0
2024-01-20-17,64.99,62.87,192.29,0,0
2024-01-20-18,2.46,0.0,100.16,0,1
2024-01-20-19,0.0,0.0,0.0,0,1
2024-01-20-20,0.0,0.0,0.0,0,1
2024-01-20-21,0.0,0.0,0.0,0,1
2024-01-20-22,0.0,0.0,0.0,0,1
